order_item_id,order_id,product_id,quantity,unit_price
ITEM00001,ORD0001,PROD061,2,279.96
ITEM00002,ORD0001,PROD044,2,188.88
ITEM00003,ORD0001,PROD081,3,282.73
ITEM00004,ORD0001,PROD030,3,396.29
ITEM00005,ORD0002,PROD006,2,350.62
ITEM00006,ORD0002,PROD080,3,141.22
ITEM00007,ORD0002,PROD094,1,287.31
ITEM00008,ORD0002,PROD061,3,279.96
ITEM00009,ORD0002,PROD017,1,76.22
ITEM00010,ORD0003,PROD024,3,150.04
ITEM00011,ORD0003,PROD017,2,76.22
ITEM00012,ORD0003,PROD100,3,96.69
ITEM00013,ORD0003,PROD066,2,453.16
ITEM00014,ORD0003,PROD052,2,33.15
ITEM00015,ORD0004,PROD001,1,103.41
ITEM00016,ORD0004,PROD065,1,275.44
ITEM00017,ORD0004,PROD089,1,57.19
ITEM00018,ORD0004,PROD027,3,430.3
ITEM00019,ORD0005,PROD025,1,258.51
ITEM00020,ORD0005,PROD075,2,115.77
ITEM00021,ORD0005,PROD087,3,229.78
ITEM00022,ORD0006,PROD068,1,90.71
ITEM00023,ORD0006,PROD005,3,233.35
ITEM00024,ORD0007,PROD099,1,224.24
ITEM00025,ORD0008,PROD005,1,233.35
ITEM00026,ORD0008,PROD020,2,274.4
ITEM00027,ORD0009,PROD037,1,447.1
ITEM00028,ORD0010,PROD076,1,475.44
ITEM00029,ORD0011,PROD031,3,270.06
ITEM00030,ORD0012,PROD098,3,9.26
ITEM00031,ORD0012,PROD059,3,214.74
ITEM00032,ORD0012,PROD090,3,123.96
ITEM00033,ORD0012,PROD080,3,141.22
ITEM00034,ORD0013,PROD088,2,446.41
ITEM00035,ORD0013,PROD085,1,459.67
ITEM00036,ORD0014,PROD042,2,328.86
ITEM00037,ORD0014,PROD015,1,55.08
ITEM00038,ORD0014,PROD006,2,350.62
ITEM00039,ORD0015,PROD081,2,282.73
ITEM00040,ORD0015,PROD024,2,150.04
ITEM00041,ORD0015,PROD005,1,233.35
ITEM00042,ORD0016,PROD018,1,499.09
ITEM00043,ORD0016,PROD078,3,306
ITEM00044,ORD0016,PROD034,3,401.61
ITEM00045,ORD0016,PROD006,1,350.62
ITEM00046,ORD0017,PROD096,3,9.45
ITEM00047,ORD0017,PROD087,2,229.78
ITEM00048,ORD0018,PROD034,1,401.61
ITEM00049,ORD0018,PROD025,3,258.51
ITEM00050,ORD0018,PROD001,1,103.41
ITEM00051,ORD0019,PROD058,2,196.7
ITEM00052,ORD0019,PROD062,3,225.11
ITEM00053,ORD0019,PROD078,3,306
ITEM00054,ORD0020,PROD038,1,134.01
ITEM00055,ORD0020,PROD063,3,90
ITEM00056,ORD0021,PROD079,3,289.07
ITEM00057,ORD0021,PROD098,3,9.26
ITEM00058,ORD0021,PROD003,3,89.67
ITEM00059,ORD0021,PROD008,2,266.96
ITEM00060,ORD0021,PROD011,3,400.25
ITEM00061,ORD0022,PROD060,1,393
ITEM00062,ORD0022,PROD041,1,118.75
ITEM00063,ORD0022,PROD023,1,92.48
ITEM00064,ORD0022,PROD084,2,283.77
ITEM00065,ORD0022,PROD039,1,364.01
ITEM00066,ORD0023,PROD084,2,283.77
ITEM00067,ORD0023,PROD031,2,270.06
ITEM00068,ORD0023,PROD040,1,406.73
ITEM00069,ORD0023,PROD093,2,139
ITEM00070,ORD0024,PROD078,1,306
ITEM00071,ORD0025,PROD068,1,90.71
ITEM00072,ORD0026,PROD087,2,229.78
ITEM00073,ORD0026,PROD060,2,393
ITEM00074,ORD0027,PROD008,1,266.96
ITEM00075,ORD0027,PROD037,3,447.1
ITEM00076,ORD0027,PROD087,1,229.78
ITEM00077,ORD0028,PROD059,1,214.74
ITEM00078,ORD0028,PROD025,1,258.51
ITEM00079,ORD0029,PROD002,2,341.41
ITEM00080,ORD0030,PROD007,1,230.23
ITEM00081,ORD0030,PROD035,3,229.14
ITEM00082,ORD0030,PROD030,2,396.29
ITEM00083,ORD0030,PROD091,3,297.48
ITEM00084,ORD0031,PROD073,3,106.48
ITEM00085,ORD0031,PROD083,1,28.62
ITEM00086,ORD0031,PROD067,1,319.06
ITEM00087,ORD0031,PROD058,1,196.7
ITEM00088,ORD0031,PROD100,3,96.69
ITEM00089,ORD0032,PROD098,1,9.26
ITEM00090,ORD0032,PROD030,2,396.29
ITEM00091,ORD0032,PROD058,3,196.7
ITEM00092,ORD0032,PROD035,2,229.14
ITEM00093,ORD0032,PROD071,1,257.65
ITEM00094,ORD0033,PROD014,3,19.37
ITEM00095,ORD0034,PROD092,2,302.65
ITEM00096,ORD0034,PROD014,2,19.37
ITEM00097,ORD0035,PROD045,3,415.12
ITEM00098,ORD0035,PROD055,2,392.92
ITEM00099,ORD0035,PROD001,2,103.41
ITEM00100,ORD0035,PROD062,3,225.11
ITEM00101,ORD0036,PROD017,2,76.22
ITEM00102,ORD0036,PROD078,2,306
ITEM00103,ORD0037,PROD059,1,214.74
ITEM00104,ORD0037,PROD097,2,444.23
ITEM00105,ORD0037,PROD046,1,408.63
ITEM00106,ORD0038,PROD082,1,99.33
ITEM00107,ORD0039,PROD055,3,392.92
ITEM00108,ORD0039,PROD091,2,297.48
ITEM00109,ORD0040,PROD021,3,392.49
ITEM00110,ORD0040,PROD092,1,302.65
ITEM00111,ORD0041,PROD028,3,350.04
ITEM00112,ORD0041,PROD061,1,279.96
ITEM00113,ORD0041,PROD027,3,430.3
ITEM00114,ORD0042,PROD008,1,266.96
ITEM00115,ORD0042,PROD021,3,392.49
ITEM00116,ORD0043,PROD080,2,141.22
ITEM00117,ORD0043,PROD057,1,407.26
ITEM00118,ORD0044,PROD074,3,217.6
ITEM00119,ORD0045,PROD005,1,233.35
ITEM00120,ORD0046,PROD003,3,89.67
ITEM00121,ORD0046,PROD090,1,123.96
ITEM00122,ORD0046,PROD004,3,311.24
ITEM00123,ORD0046,PROD081,3,282.73
ITEM00124,ORD0046,PROD065,2,275.44
ITEM00125,ORD0047,PROD042,1,328.86
ITEM00126,ORD0047,PROD017,2,76.22
ITEM00127,ORD0047,PROD029,2,323.81
ITEM00128,ORD0047,PROD087,3,229.78
ITEM00129,ORD0047,PROD031,2,270.06
ITEM00130,ORD0048,PROD059,3,214.74
ITEM00131,ORD0048,PROD054,1,413.64
ITEM00132,ORD0048,PROD081,2,282.73
ITEM00133,ORD0048,PROD046,1,408.63
ITEM00134,ORD0049,PROD014,3,19.37
ITEM00135,ORD0049,PROD073,2,106.48
ITEM00136,ORD0049,PROD081,1,282.73
ITEM00137,ORD0050,PROD097,1,444.23
ITEM00138,ORD0050,PROD059,2,214.74
ITEM00139,ORD0051,PROD091,1,297.48
ITEM00140,ORD0051,PROD019,3,155.52
ITEM00141,ORD0051,PROD022,1,10.56
ITEM00142,ORD0051,PROD084,3,283.77
ITEM00143,ORD0051,PROD071,3,257.65
ITEM00144,ORD0052,PROD069,1,391.31
ITEM00145,ORD0052,PROD075,1,115.77
ITEM00146,ORD0052,PROD070,2,82.24
ITEM00147,ORD0053,PROD046,2,408.63
ITEM00148,ORD0053,PROD006,1,350.62
ITEM00149,ORD0054,PROD036,2,163.16
ITEM00150,ORD0054,PROD078,3,306
ITEM00151,ORD0055,PROD076,3,475.44
ITEM00152,ORD0055,PROD060,3,393
ITEM00153,ORD0055,PROD028,2,350.04
ITEM00154,ORD0055,PROD067,3,319.06
ITEM00155,ORD0055,PROD100,3,96.69
ITEM00156,ORD0056,PROD088,2,446.41
ITEM00157,ORD0056,PROD090,2,123.96
ITEM00158,ORD0057,PROD041,3,118.75
ITEM00159,ORD0057,PROD021,2,392.49
ITEM00160,ORD0057,PROD073,1,106.48
ITEM00161,ORD0057,PROD084,1,283.77
ITEM00162,ORD0058,PROD004,3,311.24
ITEM00163,ORD0059,PROD095,3,320.58
ITEM00164,ORD0059,PROD062,2,225.11
ITEM00165,ORD0059,PROD062,3,225.11
ITEM00166,ORD0060,PROD063,3,90
ITEM00167,ORD0060,PROD093,1,139
ITEM00168,ORD0061,PROD047,2,460.76
ITEM00169,ORD0061,PROD003,2,89.67
ITEM00170,ORD0061,PROD004,2,311.24
ITEM00171,ORD0062,PROD052,1,33.15
ITEM00172,ORD0062,PROD058,2,196.7
ITEM00173,ORD0062,PROD041,1,118.75
ITEM00174,ORD0062,PROD045,1,415.12
ITEM00175,ORD0063,PROD084,3,283.77
ITEM00176,ORD0063,PROD020,1,274.4
ITEM00177,ORD0063,PROD065,2,275.44
ITEM00178,ORD0063,PROD057,3,407.26
ITEM00179,ORD0064,PROD052,2,33.15
ITEM00180,ORD0064,PROD014,3,19.37
ITEM00181,ORD0064,PROD020,3,274.4
